1  1.2996309100886955E-02
2  3.7767132395841050E-03
3  6.0809776952877482E-04
4  2.7182040669836845E-04
5  6.5319751275533354E-05
6  4.5410212327297058E-05
7  2.3600172840444986E-05
8  1.3838757526091360E-05
9  7.9458859361424913E-06
10  4.2718637770183420E-06
11  2.2345613874635804E-06
12  1.1092344257043864E-06
13  5.3135711986648922E-07
14  2.5548691933960512E-07
15  1.2155883147508631E-07
16  5.7218782243031290E-08
17  2.7008404502142811E-08
18  1.2765953693771869E-08
19  6.0478141769817690E-09
