1  1.1198809327059840E-02
2  3.1335533142669124E-03
3  7.5675732310322451E-04
4  3.8344778533091330E-04
5  1.2044909844217558E-04
6  6.2823885755680923E-05
7  5.0707725901032227E-05
8  3.6458351760090217E-05
9  2.5385177350100095E-05
10  1.7770869300307469E-05
11  1.0300898923803269E-05
12  7.0146513162667025E-06
13  4.4064921352224140E-06
14  2.6350835656659132E-06
15  1.9525818501176275E-06
16  1.0644313079232655E-06
17  7.2142669625714521E-07
18  4.1669248594834861E-07
19  2.7418408979713174E-07
20  1.4172638214645400E-07
21  9.6596246771773520E-08
22  5.8718006837969769E-08
23  3.4824428695165393E-08
24  1.8791055747147860E-08
25  1.4941670974304037E-08
26  5.8111755386718992E-09
