1  1.2345981042468047E-02
2  3.5200646344806175E-03
3  6.5060954906594325E-04
4  3.0532272106730998E-04
5  9.1177704001823901E-05
6  5.0981007114036038E-05
7  3.9847864760386327E-05
8  2.3156566930075948E-05
9  1.4537849077704365E-05
10  9.1418595674870786E-06
11  5.9426671532221824E-06
12  3.5008371947682774E-06
13  1.9593746822469379E-06
14  1.0666054927516781E-06
15  5.1901434987690167E-07
16  2.6451431542534533E-07
17  1.3506482662153057E-07
18  6.2688853611282389E-08
19  3.1080814262592262E-08
20  1.3703919126312206E-08
21  7.1869636865175580E-09
