1  1.0840954378442268E-02
2  3.0724252898093004E-03
3  8.0461444839602183E-04
4  3.8458579207922653E-04
5  1.4576900995210312E-04
6  6.6835917724463694E-05
7  5.0518405825905737E-05
8  3.8828447976822336E-05
9  2.8169257577804209E-05
10  1.9333315674538262E-05
11  1.2921628018412654E-05
12  8.7105544788620206E-06
13  5.6222172298043389E-06
14  3.8703894431974726E-06
15  2.6887874708935180E-06
16  1.8521615427290287E-06
17  1.1116943871585053E-06
18  8.0307595423371698E-07
19  4.9953563063447249E-07
20  3.1418955741100623E-07
21  2.1889869324635822E-07
22  1.3865206190198881E-07
23  9.3203266947037729E-08
24  5.7652909267549951E-08
25  3.6888949403041845E-08
26  2.6143950782715382E-08
27  1.5725740775426836E-08
28  1.0257947506647825E-08
29  6.5491986248614737E-09
