  1.8727183472085698e-01   5.5443118789238882e-02   1.8220885954479404e-01   5.5886062525154954e-02
  1.8729446534817393e-01   5.6176713296035068e-02   1.8221381508277468e-01   5.6046676119368803e-02
  1.8723438382459334e-01   5.6907949404846628e-02   1.8220063210512899e-01   5.6207049687764028e-02
  1.8709308026032823e-01   5.7625391918757991e-02   1.8216943869258528e-01   5.6365363943270609e-02
  1.8687407936261760e-01   5.8318246153221127e-02   1.8212059746316711e-01   5.6519822783095627e-02
  1.8658264465359681e-01   5.8976852355807984e-02   1.8205470339619004e-01   5.6668678888303750e-02
  1.8622536114690955e-01   5.9593019471066426e-02   1.8197257822429186e-01   5.6810259294603448e-02
  1.8580964729675689e-01   6.0160213733196716e-02   1.8187526138332274e-01   5.6942990664961016e-02
  1.8534338203176190e-01   6.0673460007130191e-02   1.8176399758854364e-01   5.7065424004778764e-02
  1.8483423912549915e-01   6.1129506137390502e-02   1.8164022118668635e-01   5.7176258587190928e-02
  1.8429061516958312e-01   6.1525630507394624e-02   1.8150553751405124e-01   5.7274364902980573e-02
  1.8371692829164851e-01   6.1862452140284581e-02   1.8136170156806264e-01   5.7358806520664420e-02
  1.8313069532813478e-01   6.2134509479650622e-02   1.8121059437092632e-01   5.7428860842029660e-02
  1.8249975096780158e-01   6.2356439908927898e-02   1.8105419746706930e-01   5.7484038872155828e-02
  1.8196897874358575e-01   6.2491553757512641e-02   1.8089456604928614e-01   5.7524104296376201e-02
  1.8172036974046826e-01   6.2542175775017084e-02   1.8073517190583707e-01   5.7556265425516707e-02
  1.8155571088369879e-01   6.2575194981057874e-02   1.8055641455224522e-01   5.7592091166309436e-02
  1.8134262686075994e-01   6.2617581438623435e-02   1.8035597490263119e-01   5.7631958638998740e-02
  1.8111054331144505e-01   6.2663349418719191e-02   1.8013126472177499e-01   5.7676273097824277e-02
  1.8084880790147351e-01   6.2714470974778391e-02   1.7987939762476426e-01   5.7725467015867615e-02
  1.8055594047038290e-01   6.2771055279125437e-02   1.7959715754055355e-01   5.7779998068465080e-02
  1.8022779452342366e-01   6.2833684227132258e-02   1.7928096457962472e-01   5.7840345680213713e-02
  1.7986036377933162e-01   6.2902848696688787e-02   1.7892683829744577e-01   5.7907005728651588e-02
  1.7944905738870454e-01   6.2979073615839834e-02   1.7853035841592413e-01   5.7980482916049625e-02
  1.7898882314527378e-01   6.3062875172933686e-02   1.7808662315925822e-01   5.8061280230132906e-02
  1.7847406363520918e-01   6.3154753601862915e-02   1.7759020548409535e-01   5.8149884816837027e-02
  1.7789860049849146e-01   6.3255172080536159e-02   1.7703510764332067e-01   5.8246749486975800e-02
  1.7725562599236475e-01   6.3364532443601809e-02   1.7641471472574050e-01   5.8352268980027558e-02
  1.7653765773645777e-01   6.3483143965721689e-02   1.7572174806893162e-01   5.8466750021756136e-02
  1.7573649437248853e-01   6.3611184836151108e-02   1.7494821975869596e-01   5.8590374152619307e-02
  1.7484317477401784e-01   6.3748655126784640e-02   1.7408538981487967e-01   5.8723152292010701e-02
  1.7384794285952590e-01   6.3895320327927579e-02   1.7312372812755700e-01   5.8864870068893495e-02
  1.7274022091884703e-01   6.4050644683532165e-02   1.7205288375468827e-01   5.9015023132086585e-02
  1.7150859497332299e-01   6.4213713951307039e-02   1.7086166482224913e-01   5.9172742004722882e-02
  1.7014081644972023e-01   6.4383147838628807e-02   1.6953803297225481e-01   5.9336706630617804e-02
  1.6862382522740987e-01   6.4557003315916656e-02   1.6806911706250516e-01   5.9505051649639068e-02
  1.6694379989790156e-01   6.4732671362152439e-02   1.6644125159567008e-01   5.9675264715407371e-02
  1.6508624176375578e-01   6.4906771531416482e-02   1.6464004608095950e-01   5.9844081910348366e-02
  1.6303609960183910e-01   6.5075051097525691e-02   1.6265049211257393e-01   6.0007386581119787e-02
  1.6077794217678021e-01   6.5232298436248393e-02   1.6045711514954294e-01   6.0160120718028037e-02
  1.5829617497737022e-01   6.5372283011020577e-02   1.5804417437981283e-01   6.0296220315835689e-02
  1.5557530109724182e-01   6.5487732436651902e-02   1.5539591178133697e-01   6.0408585238552984e-02
  1.5260023844205597e-01   6.5570358792204284e-02   1.5249685914803918e-01   6.0489096202238531e-02
  1.4935668752534423e-01   6.5610947851517429e-02   1.4933220143094994e-01   6.0528692720397161e-02
  1.4583153923232675e-01   6.5599520389762342e-02   1.4588819064008457e-01   6.0517522022523730e-02
