 -6.1163502328612583e-02  -2.4326013961616911e-03  -1.0271384710617920e-01   4.0852140128598988e-02
 -6.0070863302514099e-02  -1.3992322944550075e-03  -1.0098512352943194e-01   4.2487249793815039e-02
 -5.8857824324099146e-02  -2.8480709573331427e-04  -9.9137141900336595e-02   4.4185144282614393e-02
 -5.7511781117425373e-02   9.1676304312536495e-04  -9.7153008576823130e-02   4.5956446495746227e-02
 -5.6019095970864935e-02   2.2114958268911493e-03  -9.5013940170407596e-02   4.7811957730838940e-02
 -5.4365087506646807e-02   3.6051585587560373e-03  -9.2699228918084756e-02   4.9762428866345472e-02
 -5.2534050870549381e-02   5.1030348301102368e-03  -9.0186287244720983e-02   5.1818226106862042e-02
 -5.0509325504861237e-02   6.7096293832168141e-03  -8.7450829949702075e-02   5.3988855787122841e-02
 -4.8273437342987092e-02   8.4283061159953522e-03  -8.4467288793100143e-02   5.6282304038918665e-02
 -4.5808356837513269e-02   1.0260861012277552e-02  -8.1209608496728120e-02   5.8704141051524876e-02
 -4.3095941283934722e-02   1.2207041943488435e-02  -7.7652680377420513e-02   6.1256321074019515e-02
 -4.0118663494376462e-02   1.4264053451737379e-02  -7.3774782872907063e-02   6.3935631123259923e-02
 -3.6860825141462938e-02   1.6426100381508303e-02  -6.9561846943999972e-02   6.6731598819253640e-02
 -3.3310023776824245e-02   1.8684360702241398e-02  -6.5011575053195048e-02   6.9625617524895794e-02
 -2.9457942845810381e-02   2.1027866703959536e-02  -6.0133853519417788e-02   7.2593247574703229e-02
 -2.5300454562049886e-02   2.3444882568624963e-02  -5.4947925716680515e-02   7.5608351147078839e-02
 -2.0836904595968684e-02   2.5924397464942461e-02  -4.9476389284493716e-02   7.8648015671356736e-02
 -1.6068785103251434e-02   2.8457139548113970e-02  -4.3737460642771411e-02   8.1696639864033249e-02
 -1.0998564254430028e-02   3.1035549387830593e-02  -3.7739187604996650e-02   8.4747178136390530e-02
 -5.6291350553933344e-03   3.3652728402149230e-02  -3.1477126858221349e-02   8.7799577985120683e-02
  3.5979893258649559e-05   3.6300706075406287e-02  -2.4936010247502860e-02   9.0857096245666916e-02
  5.9905976472277144e-03   3.8968221269534760e-02  -1.8099142271336223e-02   9.3919876664581292e-02
  1.2223727624807834e-02   4.1639661406032133e-02  -1.0957365024123374e-02   9.6980757741410850e-02
  1.8719180912863044e-02   4.4295395331792622e-02  -3.5095877286187849e-03   1.0002583445336670e-01
  2.5455594947043692e-02   4.6912460165700921e-02   4.2351398172481500e-03   1.0303457954909852e-01
  3.2406688776827973e-02   4.9465269986927442e-02   1.2270415081865063e-02   1.0598544763775887e-01
  3.9544377643162154e-02   5.1925609734906918e-02   2.0589414251790693e-02   1.0885283839423801e-01
  4.6828442740404888e-02   5.4261574629592295e-02   2.9152539633552844e-02   1.1159884391717852e-01
  5.4226979580228464e-02   5.6447114477398704e-02   3.7920666338414975e-02   1.1418881646530218e-01
  6.2122938651078236e-02   5.8565572592679964e-02   4.7346944232695573e-02   1.1671770057565170e-01
  7.0038434472912053e-02   6.0462846428871127e-02   5.6855013096972024e-02   1.1899657517413736e-01
  7.7905526335199218e-02   6.2120941359637138e-02   6.6349766848277564e-02   1.2099762963844932e-01
  8.5671328527122781e-02   6.3533837625577641e-02   7.5753235020305912e-02   1.2270842187582851e-01
  9.3279116404894627e-02   6.4702367912011394e-02   8.4982816405031081e-02   1.2412602823609664e-01
  1.0067924266779113e-01   6.5635410820415477e-02   9.3965394308017536e-02   1.2525859624523125e-01
  1.0782701026780465e-01   6.6348009019119816e-02   1.0263552111797351e-01   1.2612299074565142e-01
  1.1468490816843027e-01   6.6860062751710622e-02   1.1093865083989182e-01   1.2674299484448953e-01
  1.2122276211019536e-01   6.7194662212402806e-02   1.1883156783056684e-01   1.2714699486024122e-01
  1.2741804834388537e-01   6.7376542673287840e-02   1.2628282517574241e-01   1.2736580228164202e-01
  1.3325587421273963e-01   6.7430659711532753e-02   1.3327342546629850e-01   1.2743065714447852e-01
  1.3872863631568916e-01   6.7380915056953636e-02   1.3979670699934563e-01   1.2737140784551734e-01
  1.4383511568132629e-01   6.7249226228958014e-02   1.4585616180933522e-01   1.2721517800618290e-01
  1.4857946208696743e-01   6.7055009587731362e-02   1.5146298521666909e-01   1.2698568031950672e-01
  1.5297020149606885e-01   6.6814985815382394e-02   1.5663399201151543e-01   1.2670302000468370e-01
  1.5701930354646998e-01   6.6543211396401791e-02   1.6138985613621254e-01   1.2638381859636505e-01
  1.6074133755401762e-01   6.6251253840786756e-02   1.6575369047058455e-01   1.2604152326851037e-01
