1  1.2736342480531026E-02
2  3.5160052591751462E-03
3  6.1131810628098879E-04
4  2.7547320583874275E-04
5  6.4154478111982871E-05
6  4.6035979555963974E-05
7  4.8899547528087936E-05
8  1.2891327423378585E-05
9  6.4824014493220875E-06
10  3.9319192054860923E-06
11  1.9004014580048449E-06
12  9.7406592569476640E-07
13  5.0123324109869951E-07
14  2.3518015982437824E-07
15  1.1375742225548143E-07
16  5.0376958674388117E-08
17  2.2816810426910902E-08
18  1.0127152557248705E-08
19  4.4235192750687072E-09
