1  1.2247357699982775E-02
2  3.7296140607481198E-03
3  5.5898786102658362E-04
4  2.8916943557641062E-04
5  7.3664348151371490E-05
6  4.1106724341249263E-05
7  4.2269429281037199E-05
8  1.4363472874958712E-05
9  7.5430808926246171E-06
10  5.4920601130505834E-06
11  2.7986695460537615E-06
12  1.5255385324279578E-06
13  6.9868454545798180E-07
14  3.4132183389524898E-07
15  1.5922270142045754E-07
16  7.5989429020089313E-08
17  3.6720615074905248E-08
18  1.7842267656022373E-08
19  8.4351297892817157E-09
