1  1.0964631003667817E-02
2  3.1449728402972269E-03
3  8.6714998267582983E-04
4  3.2992866178702670E-04
5  1.0790564908123829E-04
6  6.1178234062935249E-05
7  8.1687588831291318E-05
8  3.0324341091754788E-05
9  1.8625678675607629E-05
10  1.2675386788192373E-05
11  8.9437807361054809E-06
12  6.0170285712132233E-06
13  4.0320190608762787E-06
14  2.8099590378841448E-06
15  1.8068517594446854E-06
16  1.1827447344576458E-06
17  8.3007375612811029E-07
18  5.0488779114975550E-07
19  3.2702778541527233E-07
20  2.2876709738706984E-07
21  1.3734567426490884E-07
22  9.0241990950668369E-08
23  6.3195712739873742E-08
24  3.6627213032292465E-08
25  2.5463762782769574E-08
26  1.4910301313386304E-08
27  9.3908704313465926E-09
