1  1.1729718003864088E-02
2  3.4147006644687528E-03
3  7.3561366138811980E-04
4  3.1706653407316124E-04
5  9.2974816001391900E-05
6  5.3793537442805577E-05
7  4.2661275536738421E-05
8  2.9405780205139800E-05
9  1.9730038768776491E-05
10  1.3142216220895324E-05
11  8.5479771299486879E-06
12  5.8320666242241758E-06
13  3.6556871087322441E-06
14  2.1708460964768431E-06
15  1.2956337322032080E-06
16  8.0563388290570570E-07
17  5.0008248882607887E-07
18  2.9069289618156622E-07
19  1.8379962640369985E-07
20  1.0772624263462170E-07
21  6.1350400493490021E-08
22  3.6450279326407133E-08
23  2.2203124977619673E-08
24  1.2708333933942064E-08
25  6.8196811763050805E-09
