1  1.1829256377033734E-02
2  3.4761372642497567E-03
3  6.0274557014503623E-04
4  3.2594389007576227E-04
5  8.3831304759941581E-05
6  5.0336835884280017E-05
7  6.5787385701956143E-05
8  2.0720416729916783E-05
9  1.1460088527393090E-05
10  8.3812638035408213E-06
11  4.4083438778903348E-06
12  3.1061195503802971E-06
13  1.7266639936229648E-06
14  8.9260151091487641E-07
15  4.7692288816744215E-07
16  2.1844508151101459E-07
17  1.1820360478327659E-07
18  6.2091697339719879E-08
19  2.9842843919493129E-08
20  1.7921618009545127E-08
21  8.4220161918312725E-09
